scientific_name,common_name,longitude,latitude,state,water_type,season,sea_surface_temp_C,chlorophyll_mg_m3,depth_m,min_legal_size_cm,juvenile_range_cm,gear_type,zone_label,economic_value_in_INR_per_kg,seasonal_disease,river_name,advisory_text
Pampus argenteus,Silver Pomfret,87.1787,15.9606,Kerala,Brackish,Monsoon,24.34,1.06,46.7,40.5,20.2-36.5,Hook and Line,Green,516.75,,Bharathapuzha,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,85.3434,17.2969,Gujarat,Marine,Monsoon,22.05,2.85,96.2,22.8,11.4-20.5,Trawl,Green,334.19,,Narmada,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,70.8637,8.2722,Karnataka,Marine,Summer,28.08,1.68,140.3,44.0,22.0-39.6,Hook and Line,Green,723.01,,Krishna,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,68.3928,19.5431,Odisha,Marine,Summer,28.49,0.61,110.3,36.6,18.3-32.9,Gillnet,Green,751.29,,Mahanadi,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,95.7139,11.5323,West Bengal,Marine,Monsoon,25.41,0.82,12.5,33.7,16.9-30.3,Gillnet,Green,121.51,,Teesta,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,75.3773,20.2557,Andhra Pradesh,Brackish,Monsoon,31.84,0.47,12.5,40.4,20.2-36.4,Hook and Line,Yellow,424.21,,Godavari,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,81.7432,10.2681,Andhra Pradesh,Brackish,Winter,30.02,1.25,163.7,32.2,16.1-29.0,Hook and Line,Yellow,201.75,,Godavari,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,71.7314,13.5641,Kerala,Marine,Summer,25.03,0.41,16.9,28.1,14.1-25.3,Hook and Line,Yellow,792.06,,Pamba,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Rastrelliger kanagurta,Indian Mackerel,92.657,15.8811,Kerala,Marine,Monsoon,25.48,0.21,169.9,27.0,13.5-24.3,Gillnet,Red,614.05,Gill Rot,Bharathapuzha,High juvenile dominance of Indian Mackerel observed in Bharathapuzha. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,89.5781,21.6174,Tamil Nadu,Brackish,Monsoon,25.04,1.06,71.2,35.3,17.6-31.8,Trawl,Green,400.89,,Kaveri,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,93.7341,14.2775,West Bengal,Brackish,Winter,22.46,0.9,75.0,43.5,21.8-39.1,Purse Seine,Green,366.93,,Damodar,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,86.5317,8.393,Gujarat,Marine,Winter,29.73,3.0,91.0,40.6,20.3-36.5,Hook and Line,Red,541.77,Cold Shock Disease,Sabarmati,High juvenile dominance of Oil Sardine observed in Sabarmati. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,83.9057,9.4881,Gujarat,Marine,Winter,26.14,0.81,196.8,41.2,20.6-37.1,Hook and Line,Green,672.09,,Narmada,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,75.1419,15.5226,Andhra Pradesh,Marine,Monsoon,29.8,1.11,50.0,39.2,19.6-35.3,Purse Seine,Green,268.66,,Penna,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,80.3807,15.097,Andhra Pradesh,Brackish,Winter,24.72,1.33,115.7,30.3,15.2-27.3,Gillnet,Green,626.68,,Penna,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,77.1942,8.655,Kerala,Brackish,Summer,24.28,2.37,195.7,43.2,21.6-38.9,Gillnet,Green,313.85,,Bharathapuzha,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,87.7094,17.1173,Andhra Pradesh,Brackish,Summer,26.16,2.63,185.3,32.9,16.4-29.6,Hook and Line,Green,251.9,,Penna,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,89.7199,8.4407,Maharashtra,Brackish,Summer,28.75,1.0,185.3,20.5,10.2-18.4,Trawl,Green,753.84,,Tapi,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,91.3124,9.6307,Karnataka,Marine,Summer,26.5,2.53,156.2,18.1,9.1-16.3,Trawl,Green,409.41,,Tungabhadra,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,85.2383,15.1475,Gujarat,Brackish,Summer,31.96,2.57,172.3,25.2,12.6-22.7,Gillnet,Yellow,480.59,,Sabarmati,Moderate juvenile presence of Pharaoh Cuttlefish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,96.9783,15.1175,Karnataka,Brackish,Monsoon,28.41,1.05,47.6,33.0,16.5-29.7,Purse Seine,Green,199.05,,Tungabhadra,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,94.7681,14.5143,Kerala,Brackish,Monsoon,26.52,2.69,171.6,39.0,19.5-35.1,Purse Seine,Green,777.95,,Pamba,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,88.0726,11.4472,Gujarat,Marine,Winter,31.33,1.89,187.9,16.4,8.2-14.8,Purse Seine,Yellow,572.94,,Mahi,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,68.2245,21.955,Andhra Pradesh,Brackish,Monsoon,23.15,0.78,28.4,22.6,11.3-20.3,Gillnet,Green,486.33,,Penna,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,79.4616,18.8498,Karnataka,Marine,Winter,24.27,0.13,107.8,28.3,14.2-25.5,Trawl,Yellow,500.01,,Tungabhadra,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,83.2434,21.0932,Maharashtra,Brackish,Winter,31.42,2.25,137.6,22.0,11.0-19.8,Hook and Line,Yellow,646.17,,Wardha,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,69.3351,12.2388,Maharashtra,Brackish,Summer,26.97,1.91,68.8,38.6,19.3-34.7,Hook and Line,Green,202.61,,Tapi,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,91.1183,19.0996,Tamil Nadu,Brackish,Summer,22.21,2.42,122.4,17.7,8.8-15.9,Hook and Line,Green,428.02,,Vaigai,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,70.7959,11.3743,Gujarat,Marine,Monsoon,24.36,1.85,179.3,33.9,16.9-30.5,Purse Seine,Green,744.21,,Tapi,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,87.9911,16.5229,West Bengal,Marine,Winter,30.05,0.75,26.1,40.1,20.1-36.1,Gillnet,Yellow,136.96,,Damodar,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Penaeus monodon,Black Tiger Shrimp,90.3113,13.0623,Kerala,Marine,Summer,30.2,1.1,23.7,26.2,13.1-23.6,Gillnet,Yellow,794.79,,Pamba,Moderate juvenile presence of Black Tiger Shrimp in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,95.6,20.3257,Maharashtra,Brackish,Summer,28.54,1.63,185.6,18.5,9.2-16.7,Purse Seine,Green,465.44,,Tapi,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,72.3391,18.5016,Tamil Nadu,Marine,Winter,31.94,1.08,134.8,16.5,8.2-14.8,Purse Seine,Yellow,691.91,,Kaveri,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Pampus argenteus,Silver Pomfret,96.342,12.1909,Karnataka,Marine,Monsoon,22.28,1.01,86.4,40.8,20.4-36.7,Purse Seine,Green,327.77,,Tungabhadra,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,81.3352,10.2836,Gujarat,Brackish,Summer,25.39,0.99,172.1,35.8,17.9-32.2,Trawl,Green,652.51,,Mahi,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,74.0385,16.3136,Andhra Pradesh,Marine,Summer,30.76,1.27,61.9,23.4,11.7-21.1,Trawl,Yellow,281.35,,Krishna,Moderate juvenile presence of Pharaoh Cuttlefish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,89.6486,9.1382,Gujarat,Brackish,Winter,23.42,2.76,65.8,25.2,12.6-22.7,Trawl,Green,324.0,,Sabarmati,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,89.7999,11.6976,Maharashtra,Marine,Summer,31.09,1.52,15.7,22.6,11.3-20.3,Purse Seine,Yellow,481.92,,Tapi,Moderate juvenile presence of Black Tiger Shrimp in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,85.5377,17.1074,Tamil Nadu,Marine,Monsoon,24.4,2.67,95.1,43.9,21.9-39.5,Gillnet,Green,407.98,,Kaveri,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,85.4326,12.3429,Kerala,Brackish,Summer,27.36,2.9,134.3,15.2,7.6-13.7,Trawl,Green,330.74,,Bharathapuzha,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,89.6066,8.8946,Kerala,Brackish,Winter,26.74,0.52,34.0,15.0,7.5-13.5,Purse Seine,Green,456.33,,Chaliyar,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,93.9901,16.4405,Odisha,Marine,Winter,25.15,1.83,96.9,18.8,9.4-16.9,Trawl,Green,660.43,,Brahmani,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,77.7211,14.8023,Karnataka,Brackish,Monsoon,26.72,2.1,184.2,21.0,10.5-18.9,Purse Seine,Green,257.1,,Kaveri,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,71.11,19.699,Tamil Nadu,Marine,Summer,23.57,1.36,148.6,17.3,8.7-15.6,Gillnet,Red,491.67,Tail Rot,Palar,High juvenile dominance of Hilsa observed in Palar. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Pampus argenteus,Silver Pomfret,82.5684,21.0698,Karnataka,Brackish,Monsoon,28.24,2.73,159.4,15.0,7.5-13.5,Purse Seine,Green,500.5,,Krishna,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,74.8301,10.2142,Odisha,Brackish,Summer,25.2,2.18,180.2,29.8,14.9-26.8,Gillnet,Green,351.93,,Baitarani,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,81.4661,20.7789,Odisha,Marine,Monsoon,29.46,1.58,177.4,23.0,11.5-20.7,Gillnet,Green,794.39,,Brahmani,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,83.3635,16.7013,Gujarat,Marine,Monsoon,26.27,2.33,115.9,37.7,18.9-33.9,Gillnet,Green,119.05,,Mahi,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,84.8864,12.0627,Kerala,Marine,Winter,28.48,1.98,173.5,38.5,19.2-34.6,Purse Seine,Green,439.19,,Bharathapuzha,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,94.3249,21.9084,Maharashtra,Marine,Winter,26.9,0.13,112.1,27.6,13.8-24.8,Purse Seine,Yellow,611.47,,Krishna,Moderate juvenile presence of Black Tiger Shrimp in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,74.0128,15.1507,West Bengal,Marine,Monsoon,23.98,1.77,8.3,42.0,21.0-37.8,Gillnet,Green,569.28,,Teesta,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,84.5929,13.0266,Gujarat,Marine,Winter,25.27,2.81,48.0,18.8,9.4-16.9,Hook and Line,Green,235.01,,Mahi,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,70.5119,12.5629,Karnataka,Marine,Monsoon,25.34,2.15,6.8,30.3,15.2-27.3,Gillnet,Green,562.96,,Kaveri,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,89.1209,10.7949,West Bengal,Brackish,Summer,22.88,0.21,53.2,33.6,16.8-30.2,Trawl,Yellow,208.11,,Teesta,Moderate juvenile presence of Oil Sardine in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Pampus argenteus,Silver Pomfret,85.1935,20.3758,Andhra Pradesh,Marine,Summer,23.86,2.57,126.4,17.7,8.8-15.9,Purse Seine,Green,698.88,,Godavari,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,86.6143,10.3334,Andhra Pradesh,Marine,Summer,28.79,2.08,174.5,34.9,17.4-31.4,Trawl,Green,287.1,,Godavari,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,71.6619,15.3697,Karnataka,Marine,Winter,28.42,2.27,72.2,41.1,20.6-37.0,Hook and Line,Green,513.6,,Tungabhadra,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,95.6913,18.7342,Karnataka,Brackish,Summer,24.13,1.41,67.2,44.4,22.2-40.0,Trawl,Green,778.18,,Tungabhadra,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,89.3495,12.3081,Andhra Pradesh,Marine,Monsoon,27.98,0.65,160.1,27.6,13.8-24.8,Purse Seine,Green,721.45,,Godavari,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,75.3027,8.0029,Karnataka,Brackish,Winter,26.86,1.71,40.5,26.8,13.4-24.1,Hook and Line,Green,274.85,,Tungabhadra,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,93.5488,19.7223,Odisha,Brackish,Summer,24.67,1.71,197.3,35.1,17.6-31.6,Hook and Line,Green,315.78,,Brahmani,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,71.6008,10.7682,Maharashtra,Marine,Monsoon,25.25,2.18,65.7,42.7,21.4-38.4,Gillnet,Green,777.61,,Krishna,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,84.7822,12.5496,Gujarat,Marine,Winter,30.96,2.31,14.3,28.4,14.2-25.6,Hook and Line,Yellow,315.57,,Sabarmati,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,87.837,15.9544,Andhra Pradesh,Marine,Summer,24.88,2.93,154.1,19.5,9.8-17.6,Hook and Line,Green,748.13,,Krishna,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,79.3118,10.9674,Kerala,Brackish,Summer,27.22,2.77,21.7,18.6,9.3-16.7,Hook and Line,Green,792.27,,Chaliyar,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,82.8686,11.2783,West Bengal,Marine,Summer,26.18,2.88,74.4,31.8,15.9-28.6,Trawl,Green,560.84,,Teesta,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,78.0408,19.1359,Odisha,Brackish,Summer,25.83,0.72,132.1,32.5,16.2-29.2,Gillnet,Green,349.3,,Mahanadi,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,68.453,15.5016,Tamil Nadu,Brackish,Monsoon,28.34,0.83,114.1,38.1,19.1-34.3,Purse Seine,Green,583.73,,Palar,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,76.6169,14.8977,Maharashtra,Marine,Winter,27.41,1.58,144.2,40.9,20.4-36.8,Purse Seine,Green,284.51,,Wardha,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,86.2006,12.3937,Gujarat,Marine,Summer,27.05,1.6,32.7,26.6,13.3-23.9,Trawl,Green,604.98,,Narmada,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,70.3713,8.7048,Gujarat,Brackish,Monsoon,25.12,1.94,66.4,19.1,9.6-17.2,Gillnet,Green,764.22,,Narmada,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,80.7441,19.796,Odisha,Brackish,Summer,31.14,2.19,173.2,32.6,16.3-29.3,Hook and Line,Yellow,232.45,,Brahmani,Moderate juvenile presence of Indian Mackerel in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Rastrelliger kanagurta,Indian Mackerel,71.548,13.517,Karnataka,Brackish,Monsoon,25.96,2.47,96.7,41.2,20.6-37.1,Trawl,Red,344.3,Gill Rot,Tungabhadra,High juvenile dominance of Indian Mackerel observed in Tungabhadra. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sepia pharaonis,Pharaoh Cuttlefish,80.0148,10.9085,Maharashtra,Marine,Monsoon,25.37,2.65,139.4,42.7,21.4-38.4,Hook and Line,Green,298.51,,Krishna,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,73.2782,14.4112,Maharashtra,Marine,Summer,27.63,0.59,171.5,23.4,11.7-21.1,Purse Seine,Green,783.46,,Krishna,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,70.0404,11.4998,Kerala,Brackish,Summer,27.88,2.98,171.7,30.0,15.0-27.0,Trawl,Green,400.17,,Pamba,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,88.3859,17.6029,Karnataka,Brackish,Monsoon,31.8,0.18,29.4,21.6,10.8-19.4,Purse Seine,Yellow,287.01,,Tungabhadra,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,72.7316,16.8776,Kerala,Marine,Summer,27.29,1.38,60.3,38.4,19.2-34.6,Gillnet,Green,758.41,,Periyar,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,76.7929,8.1096,Andhra Pradesh,Brackish,Summer,30.15,1.88,102.6,43.6,21.8-39.2,Purse Seine,Yellow,663.09,,Krishna,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,80.6074,14.3921,Maharashtra,Marine,Summer,27.21,0.45,139.7,28.6,14.3-25.7,Hook and Line,Yellow,260.71,,Tapi,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Penaeus monodon,Black Tiger Shrimp,92.965,9.5378,Tamil Nadu,Marine,Summer,26.79,2.08,56.4,44.1,22.1-39.7,Gillnet,Green,126.48,,Vaigai,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,68.7364,12.2688,Gujarat,Brackish,Summer,29.86,1.84,44.2,39.3,19.6-35.4,Hook and Line,Green,287.71,,Tapi,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,89.6105,21.5029,West Bengal,Marine,Summer,22.27,1.08,27.1,15.9,8.0-14.3,Trawl,Green,670.4,,Subarnarekha,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,74.8783,15.6704,Tamil Nadu,Marine,Winter,27.58,1.18,41.7,42.0,21.0-37.8,Purse Seine,Green,165.46,,Kaveri,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,86.9403,15.59,West Bengal,Brackish,Monsoon,31.17,0.65,169.6,26.0,13.0-23.4,Purse Seine,Yellow,405.17,,Teesta,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,82.7527,9.8148,Gujarat,Marine,Winter,30.1,2.12,156.0,29.3,14.7-26.4,Gillnet,Yellow,596.54,,Tapi,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,93.9204,13.061,Kerala,Marine,Monsoon,23.96,1.06,77.1,22.2,11.1-20.0,Trawl,Green,386.74,,Pamba,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,93.4373,10.6642,Tamil Nadu,Marine,Winter,29.03,2.46,95.2,41.8,20.9-37.6,Trawl,Green,171.89,,Kaveri,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,88.99,14.864,Karnataka,Brackish,Monsoon,22.9,1.61,58.0,33.0,16.5-29.7,Gillnet,Green,509.28,,Krishna,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,86.3172,13.9603,Tamil Nadu,Brackish,Summer,31.08,1.82,68.8,35.4,17.7-31.9,Gillnet,Yellow,347.98,,Palar,Moderate juvenile presence of Pharaoh Cuttlefish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Rastrelliger kanagurta,Indian Mackerel,83.4798,8.0809,Karnataka,Brackish,Winter,26.83,2.72,172.1,17.5,8.8-15.8,Hook and Line,Green,453.47,,Krishna,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,84.9347,19.8165,Odisha,Marine,Summer,24.55,0.69,96.6,32.1,16.1-28.9,Trawl,Green,229.09,,Mahanadi,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,68.3157,16.1147,West Bengal,Brackish,Winter,25.53,0.24,121.1,42.2,21.1-38.0,Purse Seine,Yellow,535.08,,Subarnarekha,Moderate juvenile presence of Indian Mackerel in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,80.7116,8.1601,Gujarat,Marine,Winter,28.52,2.82,31.6,22.4,11.2-20.2,Trawl,Green,682.7,,Mahi,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,84.3973,9.3263,Maharashtra,Marine,Monsoon,24.29,0.61,109.6,42.3,21.1-38.1,Purse Seine,Green,728.96,,Krishna,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,71.0882,15.4122,Gujarat,Marine,Winter,31.3,2.32,143.0,41.2,20.6-37.1,Purse Seine,Yellow,439.08,,Mahi,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Tenualosa ilisha,Hilsa,73.4353,14.6499,Karnataka,Marine,Summer,23.45,2.12,154.0,34.1,17.1-30.7,Gillnet,Red,156.27,Tail Rot,Kaveri,High juvenile dominance of Hilsa observed in Kaveri. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sardinella longiceps,Oil Sardine,83.4025,17.125,Andhra Pradesh,Marine,Summer,24.39,2.22,6.5,29.6,14.8-26.6,Trawl,Green,797.98,,Godavari,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
